Name,Type,Status,Repo,Languages,Topics,Boards,Description,Link,Include,Image
MaaXBoard OSM93 Demos,sample,beta,Maaxboard-OSM93-Demos,Python,"edge-ai, mpu, telemetry",AES-MAAXB-OSM93-DK-G,Demo applications for the TRIA MaaXBoard OSM93 connecting the i.MX 93 SBC to /IOTCONNECT. Showcases edge processing and cloud telemetry on a compact embedded Linux platform.,https://github.com/avnet-iotconnect/Maaxboard-OSM93-Demos,yes,
Arduino Uno Q App Lab,sample,beta,iotc-arduino-uno-q-app-lab,Python,"mcu, telemetry, commands",,Hands-on application lab for connecting the Arduino Uno Q to /IOTCONNECT. Guides developers through building cloud-connected sketches and Python apps with telemetry and command handling.,https://github.com/avnet-iotconnect/iotc-arduino-uno-q-app-lab,yes,assets/tech/arduino.svg
/IOTCONNECT Greengrass C Component SDK,sdk,beta,iotc-greengrass-c-sdk,C,"greengrass, gateway, telemetry, commands",,"C SDK for building AWS IoT Greengrass components that integrate with /IOTCONNECT. Provides native-code building blocks for telemetry, command handling and edge processing on Greengrass gateways.",https://github.com/avnet-iotconnect/iotc-greengrass-c-sdk,yes,assets/tech/c.svg
/IOTCONNECT Python Greengrass Components,sample,beta,iotc-python-greengrass-components,Python,"greengrass, gateway, telemetry, commands",,"Ready-to-deploy AWS IoT Greengrass components written in Python for /IOTCONNECT. Reusable building blocks that send telemetry, receive commands and extend Greengrass edge deployments.",https://github.com/avnet-iotconnect/iotc-python-greengrass-components,yes,assets/tech/python.svg
X-CUBE ST67 Wi-Fi SDK,sdk,beta,x-cube-iotc-st67-sdk,C,"wifi, mcu, telemetry, commands",,"/IOTCONNECT SDK for the STMicroelectronics ST67 Wi-Fi module, packaged as an STM32Cube expansion. Connects STM32 designs to the cloud over Wi-Fi with telemetry and command support.",https://github.com/avnet-iotconnect/x-cube-iotc-st67-sdk,yes,assets/tech/c.svg
/IOTCONNECT Node.js SDK,sdk,beta,iotc-node-sdk,JavaScript,"telemetry, commands, gateway",,"Node.js SDK for connecting JavaScript and TypeScript applications to /IOTCONNECT. Handles device authentication, telemetry publishing and command callbacks for server and gateway apps.",https://github.com/avnet-iotconnect/iotc-node-sdk,yes,assets/tech/nodejs.svg
/IOTCONNECT .NET SDK,sdk,beta,iotc-dotnet-sdk,C#,"telemetry, commands, gateway",,".NET SDK for integrating C# applications and services with /IOTCONNECT. Provides device connectivity, telemetry and command handling for Windows and cross-platform .NET deployments.",https://github.com/avnet-iotconnect/iotc-dotnet-sdk,yes,assets/tech/dotnet.svg
/IOTCONNECT iOS Swift SDK,sdk,beta,iotc-ios-swift-sdk,Swift,"telemetry, commands, gateway",,"Swift SDK for connecting native iOS applications to /IOTCONNECT. Enables mobile apps to act as device clients or gateways, publishing telemetry and responding to cloud commands.",https://github.com/avnet-iotconnect/iotc-ios-swift-sdk,yes,assets/tech/swift.svg
/IOTCONNECT Android SDK,sdk,beta,iotc-android-sdk,Java,"telemetry, commands, gateway",,"Android SDK for connecting Java and Kotlin apps to /IOTCONNECT. Lets mobile devices serve as edge clients or BLE gateways, streaming telemetry and handling commands.",https://github.com/avnet-iotconnect/iotc-android-sdk,yes,assets/tech/android.svg
/IOTCONNECT Generic C SDK,sdk,beta,iotc-generic-c-sdk,C,"telemetry, commands, ota",,"Portable generic C SDK for /IOTCONNECT designed to run across a wide range of platforms and RTOSes. A flexible foundation for bringing custom C-based devices online with telemetry, commands and OTA.",https://github.com/avnet-iotconnect/iotc-generic-c-sdk,yes,assets/tech/c.svg
/IOTCONNECT Yocto C SDK,sdk,beta,iotc-yocto-c-sdk,C,"yocto, mpu, telemetry, commands",,C SDK packaged for Yocto-based embedded Linux builds connecting to /IOTCONNECT. Integrates into custom Linux images to provide native telemetry and command handling on MPU platforms.,https://github.com/avnet-iotconnect/iotc-yocto-c-sdk,yes,assets/tech/linux.svg
/IOTCONNECT Yocto Python SDK,sdk,beta,iotc-yocto-python-sdk,Python,"yocto, mpu, telemetry, commands",,Python SDK packaged for Yocto-based embedded Linux distributions connecting to /IOTCONNECT. Simplifies adding cloud telemetry and command support to custom Linux images on MPU platforms.,https://github.com/avnet-iotconnect/iotc-yocto-python-sdk,yes,assets/tech/linux.svg
/IOTCONNECT Python SDK,sdk,stable,iotc-python-sdk,Python,"telemetry, commands, mpu",,"Full-featured Python SDK for /IOTCONNECT — the most common starting point for desktop, server and embedded Linux device-to-cloud integrations.",https://github.com/avnet-iotconnect/iotc-python-sdk,yes,assets/tech/python.svg
/IOTCONNECT Python REST API,library,stable,iotc-python-rest-api,Python,"telemetry, commands",,"Python client for the /IOTCONNECT REST API — manage devices, templates and telemetry programmatically.",https://github.com/avnet-iotconnect/iotc-python-rest-api,yes,assets/tech/python.svg
/IOTCONNECT nRF Connect SDK,sdk,beta,iotc-nrf-sdk,C,"cellular, ble, mcu","nRF6943, nRF52840-DK",/IOTCONNECT SDK for Nordic nRF9160 and nRF52 devices — connect the Thingy:91 and nRF52840 DK over cellular or BLE to the cloud.,https://github.com/avnet-iotconnect/iotc-nrf-sdk,yes,
PolarFire SoC DK — Complex Neural Network Accelerator,sample,beta,iotc-python-lite-sdk-demos,Python,"fpga, edge-ai, ai",MPFS-DISCO-KIT,Runs a larger model with batched execution on the PolarFire SoC to maximize hardware neural-network acceleration gains while reporting results to /IOTCONNECT.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-polarfire-soc-dk/ml-complex-nn-accelerator,yes,
PolarFire SoC DK — Simple Neural Network Accelerator,sample,beta,iotc-python-lite-sdk-demos,Python,"fpga, edge-ai, ai",MPFS-DISCO-KIT,Demonstrates a compact fixed-point neural-network accelerator on the PolarFire SoC using the same /IOTCONNECT command interface as the template-correlation classifier.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-polarfire-soc-dk/ml-simple-nn-accelerator,yes,
PolarFire SoC DK — Template Correlation Classifier,sample,beta,iotc-python-lite-sdk-demos,Python,"fpga, edge-ai, ai",MPFS-DISCO-KIT,Validates end-to-end cloud command/control and telemetry on the PolarFire SoC with a deterministic template-correlation classifier.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-polarfire-soc-dk/ml-template-correlation-classifier,yes,
PolarFire Video Kit — Template Correlation Classifier,sample,beta,iotc-python-lite-sdk-demos,Python,"fpga, edge-ai, ai",MPFS-VIDEO-KIT,Validates end-to-end cloud command/control and telemetry on the PolarFire SoC Video Kit with a deterministic template-correlation classifier.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-polarfire-soc-vk/track1-iotc-ml-classifier,yes,
PolarFire Video Kit — Simple Neural Network Accelerator,sample,beta,iotc-python-lite-sdk-demos,Python,"fpga, edge-ai, ai",MPFS-VIDEO-KIT,Demonstrates a compact fixed-point neural-network accelerator on the PolarFire SoC Video Kit using the same /IOTCONNECT command interface as the template-correlation classifier.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-polarfire-soc-vk/track2-iotc-ml-nn-accelerator,yes,
PolarFire Video Kit — Complex Neural Network Accelerator,sample,beta,iotc-python-lite-sdk-demos,Python,"fpga, edge-ai, ai",MPFS-VIDEO-KIT,Runs a larger model with batched execution on the PolarFire SoC Video Kit to maximize hardware neural-network acceleration gains.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-polarfire-soc-vk/track3-iotc-ml-complex-accelerator,yes,
SAMA7D65 Curiosity — Keyword Spotting,sample,beta,iotc-python-lite-sdk-demos,Python,"audio, edge-ai, ai",EV63J76A,Turns the SAMA7D65-Curiosity Kit into a USB-microphone keyword spotter that publishes inference results to /IOTCONNECT.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-sama7d65-curiosity/kws-demo,yes,
SAMA7D65 Curiosity — Voice Blackjack (KWS Game),sample,beta,iotc-python-lite-sdk-demos,Python,"audio, edge-ai",EV63J76A,Plays a voice-controlled blackjack game on the SAMA7D65-Curiosity Kit driven by on-device keyword spotting.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-sama7d65-curiosity/kws-game,yes,
SAMA7D65 Curiosity — KWS Training Studio,sample,beta,iotc-python-lite-sdk-demos,Python,"audio, edge-ai, ai",EV63J76A,Provides a complete on-board retraining pipeline for customizing the SAMA7D65 keyword-spotting model.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-sama7d65-curiosity/kws-training,yes,
SAMA7D65 Curiosity — PAC1934 Power Monitoring,sample,beta,iotc-python-lite-sdk-demos,Python,sensors,EV63J76A,"Reads voltage, current, and power from the on-board PAC1934 power-monitor IC and publishes the measurements to /IOTCONNECT.",https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-sama7d65-curiosity/pac1934-demo,yes,
Jetson Orin — Amazon KVS PutMedia,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, video",JETSON-ORIN,Streams live video from the Jetson Orin to AWS Kinesis Video Streams using the KVS PutMedia API.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/nvidia-jetson-orin/kvs-putmedia,yes,
i.MX93 — Driver Monitoring (DMS) Vision AI,sample,beta,iotc-python-lite-sdk-demos,Python,"vision, edge-ai",FRDM-IMX93,Runs the eIQ Vision AI driver-monitoring system on the FRDM i.MX 93 to detect driver attention and alertness.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/nxp-frdm-imx-93/dms-demo,yes,
i.MX93 — Driver Monitoring with Face Recognition,sample,beta,iotc-python-lite-sdk-demos,Python,"face-recognition, vision, edge-ai",FRDM-IMX93,Extends the i.MX 93 driver-monitoring vision demo with face recognition to identify the driver alongside attention tracking.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/nxp-frdm-imx-93/dms_plus_face_recog-demo,yes,
i.MX93 — Media Capture & File Upload,sample,beta,iotc-python-lite-sdk-demos,Python,file-upload,FRDM-IMX93,Captures media on the FRDM-IMX93 and uploads the resulting files to /IOTCONNECT.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/nxp-frdm-imx-93/file-upload-demo,yes,
i.MX93 — Amazon KVS PutMedia,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, video",FRDM-IMX93,Streams live video from the FRDM-IMX93 to AWS Kinesis Video Streams using the KVS PutMedia API.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/nxp-frdm-imx-93/kvs-putmedia,yes,
i.MX93 — Amazon KVS WebRTC,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, webrtc, video",FRDM-IMX93,Streams live video from the FRDM-IMX93 over AWS Kinesis Video Streams WebRTC for low-latency viewing.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/nxp-frdm-imx-93/kvs-webrtc,yes,
RZ/V2H EVK — AI Inference Vision,sample,beta,iotc-python-lite-sdk-demos,Python,"vision, edge-ai, ai",RZ-V2H-EVK,Runs a full Python computer-vision AI inference pipeline on the Renesas RZ/V2H EVK and reports results to /IOTCONNECT.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/renesas-rzv2h-evk/ai-demo,yes,
RZ/V2H EVK — System Monitor,sample,beta,iotc-python-lite-sdk-demos,Python,sensors,RZ-V2H-EVK,Streams real-time system metrics from the Renesas RZ/V2H EVK to /IOTCONNECT.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/renesas-rzv2h-evk/system-monitor-demo,yes,
STM32MP135F-DK — X-LINUX-AI Vision,sample,beta,iotc-python-lite-sdk-demos,Python,"vision, edge-ai",STM32MP135F-DK,Runs the X-LINUX-AI object-detection vision pipeline on the STM32MP135F-DK and publishes detections to /IOTCONNECT.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp135f-dk/ai-vision,yes,
STM32MP135F-DK — Amazon KVS PutMedia,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, video",STM32MP135F-DK,Streams live video from the STM32MP135F-DK to AWS Kinesis Video Streams using the KVS PutMedia API.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp135f-dk/kvs-putmedia,yes,
STM32MP135F-DK — Amazon KVS WebRTC,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, webrtc, video",STM32MP135F-DK,Streams live video from the STM32MP135F-DK over AWS Kinesis Video Streams WebRTC for low-latency viewing.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp135f-dk/kvs-webrtc,yes,
STM32MP135F-DK — MKBOXPRO BLE Sensors,sample,beta,iotc-python-lite-sdk-demos,Python,edge-ai,STM32MP135F-DK,Streams telemetry from the STEVAL-MKBOXPRO BLE sensor pack to /IOTCONNECT via the STM32MP135F-DK.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp135f-dk/mkboxpro-demo,yes,
STM32MP135F-DK — PROTEUS Sensors,sample,beta,iotc-python-lite-sdk-demos,Python,edge-ai,STM32MP135F-DK,Streams telemetry from the standard STEVAL-PROTEUS sensor pack to /IOTCONNECT via the STM32MP135F-DK.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp135f-dk/proteus-standard-demo,yes,
STM32MP157F-DK2 — X-LINUX-AI Vision,sample,beta,iotc-python-lite-sdk-demos,Python,"vision, edge-ai",STM32MP157F-DK2,Runs the X-LINUX-AI object-detection vision pipeline on the STM32MP157F-DK2 and publishes detections to /IOTCONNECT.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp157f-dk2/ai-vision,yes,
STM32MP157F-DK2 — Amazon KVS PutMedia,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, video",STM32MP157F-DK2,Streams live video from the STM32MP157F-DK2 to AWS Kinesis Video Streams using the KVS PutMedia API.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp157f-dk2/kvs-putmedia,yes,
STM32MP157F-DK2 — Amazon KVS WebRTC,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, webrtc, video",STM32MP157F-DK2,Streams live video from the STM32MP157F-DK2 over AWS Kinesis Video Streams WebRTC for low-latency viewing.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp157f-dk2/kvs-webrtc,yes,
STM32MP157F-DK2 — MKBOXPRO BLE Sensors,sample,beta,iotc-python-lite-sdk-demos,Python,edge-ai,STM32MP157F-DK2,Streams telemetry from the STEVAL-MKBOXPRO BLE sensor pack to /IOTCONNECT via the STM32MP157F-DK2.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp157f-dk2/mkboxpro-demo,yes,
STM32MP157F-DK2 — PROTEUS Sensors,sample,beta,iotc-python-lite-sdk-demos,Python,edge-ai,STM32MP157F-DK2,Streams telemetry from the standard STEVAL-PROTEUS sensor pack to /IOTCONNECT via the STM32MP157F-DK2.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp157f-dk2/proteus-standard-demo,yes,
STM32MP257-DK — Amazon KVS PutMedia,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, video",STM32MP257F-DK,Streams live video from the STM32MP257F-DK to AWS Kinesis Video Streams using the KVS PutMedia API.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp257f-dk/kvs-putmedia,yes,
STM32MP257-DK — Amazon KVS WebRTC,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, webrtc, video",STM32MP257F-DK,Streams live video from the STM32MP257F-DK over AWS Kinesis Video Streams WebRTC for low-latency viewing.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp257f-dk/kvs-webrtc,yes,
STM32MP257-DK — MKBOXPRO BLE Sensors,sample,beta,iotc-python-lite-sdk-demos,Python,edge-ai,STM32MP257F-DK,Streams telemetry from the STEVAL-MKBOXPRO BLE sensor pack to /IOTCONNECT via the STM32MP257F-DK.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp257f-dk/mkboxpro-demo,yes,
STM32MP257-DK — PROTEUS Sensors,sample,beta,iotc-python-lite-sdk-demos,Python,edge-ai,STM32MP257F-DK,Streams telemetry from the standard STEVAL-PROTEUS sensor pack to /IOTCONNECT via the STM32MP257F-DK.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp257f-dk/proteus-standard-demo,yes,
STM32MP257-EV1 — Amazon KVS PutMedia,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, video",STM32MP257F-EV1,Streams live video from the STM32MP257F-EV1 to AWS Kinesis Video Streams using the KVS PutMedia API.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp257f-ev1/kvs-putmedia,yes,
STM32MP257-EV1 — Amazon KVS WebRTC,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, webrtc, video",STM32MP257F-EV1,Streams live video from the STM32MP257F-EV1 over AWS Kinesis Video Streams WebRTC for low-latency viewing.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/stm32mp257f-ev1/kvs-webrtc,yes,
MaaXBoard OSM93 — Driver Monitoring (DMS) Vision AI,sample,beta,iotc-python-lite-sdk-demos,Python,"vision, edge-ai",AES-MAAXB-OSM93-DK-G,Runs the eIQ Vision AI driver-monitoring system on the Tria MaaXBoard OSM93 to detect driver attention and alertness.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/tria-maaxboard-osm93/dms-demo,yes,
Vision AI-Kit 6490 — Amazon KVS PutMedia,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, video, vision, edge-ai",AES-QCS6490-DK-G,Streams live video from the Tria Vision AI-Kit 6490 to AWS Kinesis Video Streams using the KVS PutMedia API.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/tria-vision-ai-kit-6490/kvs-putmedia,yes,
Vision AI-Kit 6490 — Amazon KVS WebRTC,sample,beta,iotc-python-lite-sdk-demos,Python,"kvs, webrtc, video, vision, edge-ai",AES-QCS6490-DK-G,Streams live video from the Tria Vision AI-Kit 6490 over AWS Kinesis Video Streams WebRTC for low-latency viewing.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/tria-vision-ai-kit-6490/kvs-webrtc,yes,
Vision AI-Kit 6490 — Vision AI Telemetry,sample,beta,iotc-python-lite-sdk-demos,Python,"vision, edge-ai, ai",AES-QCS6490-DK-G,Sends AI inference and system-status telemetry from the Tria Vision AI-Kit 6490 to /IOTCONNECT.,https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/tria-vision-ai-kit-6490/vision-ai,yes,
i.MX93 — Greengrass nucleus lite,sample,beta,iotc-python-greengrass-demos,Python,greengrass,FRDM-IMX93,Deploy /IOTCONNECT telemetry and commands as an AWS IoT Greengrass nucleus-lite component on the FRDM i.MX93 board.,https://github.com/avnet-iotconnect/iotc-python-greengrass-demos/tree/main/nxp-frdm-imx-93,yes,
Raspberry Pi 5 — Greengrass nucleus lite,sample,beta,iotc-python-greengrass-demos,Python,greengrass,RPI5-4GB-SINGLE,Deploy /IOTCONNECT telemetry and commands as an AWS IoT Greengrass nucleus-lite component on the Raspberry Pi 5.,https://github.com/avnet-iotconnect/iotc-python-greengrass-demos/tree/main/raspberry-pi,yes,
STM32MP135F-DK — Greengrass nucleus lite,sample,beta,iotc-python-greengrass-demos,Python,greengrass,STM32MP135F-DK,Deploy /IOTCONNECT telemetry and commands as an AWS IoT Greengrass nucleus-lite component on the STM32MP135F Discovery Kit.,https://github.com/avnet-iotconnect/iotc-python-greengrass-demos/tree/main/stm32mp135f-dk,yes,
STM32MP157F-DK2 — Greengrass nucleus lite,sample,beta,iotc-python-greengrass-demos,Python,greengrass,STM32MP157F-DK2,Deploy /IOTCONNECT telemetry and commands as an AWS IoT Greengrass nucleus-lite component on the STM32MP157F Discovery Kit.,https://github.com/avnet-iotconnect/iotc-python-greengrass-demos/tree/main/stm32mp157f-dk2,yes,
STM32MP215F-DK — Greengrass nucleus lite,sample,beta,iotc-python-greengrass-demos,Python,greengrass,STM32MP215F-DK,Deploy /IOTCONNECT telemetry and commands as an AWS IoT Greengrass nucleus-lite component on the STM32MP215F Discovery Kit.,https://github.com/avnet-iotconnect/iotc-python-greengrass-demos/tree/main/stm32mp215f-dk,yes,
STM32MP257F-DK — Greengrass nucleus lite,sample,beta,iotc-python-greengrass-demos,Python,greengrass,STM32MP257F-DK,Deploy /IOTCONNECT telemetry and commands as an AWS IoT Greengrass nucleus-lite component on the STM32MP257F Discovery Kit.,https://github.com/avnet-iotconnect/iotc-python-greengrass-demos/tree/main/stm32mp257f-dk,yes,
STM32MP257F-EV1 — Greengrass nucleus lite,sample,beta,iotc-python-greengrass-demos,Python,greengrass,STM32MP257F-EV1,Deploy /IOTCONNECT telemetry and commands as an AWS IoT Greengrass nucleus-lite component on the STM32MP257F Evaluation Board.,https://github.com/avnet-iotconnect/iotc-python-greengrass-demos/tree/main/stm32mp257f-ev1,yes,
Arduino UNO Q — Python Lite SDK,sample,beta,iotc-python-lite-sdk-demos,Python,mpu,ARDUINO-UNO-Q,"Get started with the /IOTCONNECT Python Lite SDK on the Arduino UNO Q: stream telemetry, receive cloud commands and run OTA updates from a Python app.",https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/arduino-uno-q,yes,
PIC64GX Curiosity — Python Lite SDK,sample,beta,iotc-python-lite-sdk-demos,Python,mpu,CURIOSITY-PIC64GX1000-KIT,"Get started with the /IOTCONNECT Python Lite SDK on the Microchip PIC64GX Curiosity Kit: stream telemetry, receive cloud commands and run OTA updates from a Python app.",https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/microchip-pic64gx1000,yes,
S32G GoldBox — Python Lite SDK,sample,beta,iotc-python-lite-sdk-demos,Python,mpu,S32G-VNP-GLDBOX,"Get started with the /IOTCONNECT Python Lite SDK on the NXP S32G GoldBox: stream telemetry, receive cloud commands and run OTA updates from a Python app.",https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/nxp-s32g-vnp-gldbox3,yes,
MaaXBoard 8M — Python Lite SDK,sample,beta,iotc-python-lite-sdk-demos,Python,mpu,AES-MC-SBC-IMX8M-G,"Get started with the /IOTCONNECT Python Lite SDK on the Avnet MaaXBoard 8M: stream telemetry, receive cloud commands and run OTA updates from a Python app.",https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/tria-maaxboard-8m,yes,
MaaXBoard 8ULP — Python Lite SDK,sample,beta,iotc-python-lite-sdk-demos,Python,mpu,AES-MAAXB-8ULP-SK-G,"Get started with the /IOTCONNECT Python Lite SDK on the Avnet MaaXBoard 8ULP: stream telemetry, receive cloud commands and run OTA updates from a Python app.",https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/tria-maaxboard-8ulp,yes,
RZ/G3E EVK — Python Lite SDK,sample,beta,iotc-python-lite-sdk-demos,Python,"mpu, edge-ai",RZ-G3E-EVK,"Get started with the /IOTCONNECT Python Lite SDK on the Renesas RZ/G3E Evaluation Kit: stream telemetry, receive cloud commands and run OTA updates from a Python app.",https://github.com/avnet-iotconnect/iotc-python-lite-sdk-demos/tree/main/renesas-rzg3e-evk,yes,
